site,model,seed,price_case,tail_premium,regime,mse_test_total_cny_per_installed_mw,event_weighted_test_total_cny_per_installed_mw,event_weighted_minus_mse_cny_per_installed_mw,mse_test_mse_pu2,event_weighted_test_mse_pu2,mse_weighted_mse_pu2,event_weighted_weighted_mse_pu2
pizhou,timesnet,41,high,0.0,at_least_10pct_2h,41400.06455781332,48116.89371675784,6716.829158944522,0.015349520155025786,0.017494571866069463,0.03349783530750871,0.035761883219307816
pizhou,timesnet,41,high,1000.0,unconstrained,54118.426516714746,63480.89214957983,9362.465632865082,0.015349520155025786,0.017494571866069463,0.03349783530750871,0.035761883219307816
pizhou,timesnet,41,high,1000.0,at_least_10pct_2h,53429.38284631207,62721.259043482714,9291.87619717064,0.015349520155025786,0.017494571866069463,0.03349783530750871,0.035761883219307816
pizhou,timesnet,41,high,5000.0,unconstrained,86919.459800741,102731.03213757828,15811.572336837286,0.015349520155025786,0.017494571866069463,0.03349783530750871,0.035761883219307816
pizhou,timesnet,41,high,5000.0,at_least_10pct_2h,86919.459800741,102731.03213757828,15811.572336837286,0.015349520155025786,0.017494571866069463,0.03349783530750871,0.035761883219307816
pizhou,timesnet,42,low,0.0,unconstrained,12378.722959723904,12912.64961373017,533.9266540062654,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,low,0.0,at_least_10pct_2h,20846.5852414684,21882.658507596578,1036.0732661281763,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,low,1000.0,unconstrained,31887.082517632363,35015.67739096602,3128.5948733336554,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,low,1000.0,at_least_10pct_2h,33524.59798103358,37995.01397188833,4470.415990854752,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,low,5000.0,unconstrained,73349.75209258645,93761.99635449164,20412.244261905187,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,low,5000.0,at_least_10pct_2h,73349.75209258645,93761.99635449164,20412.244261905187,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,base,0.0,unconstrained,24757.445919447808,25825.29922746034,1067.8533080125308,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,base,0.0,at_least_10pct_2h,28020.312710724585,30269.03041330497,2248.717702580383,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,base,1000.0,unconstrained,41572.46927764988,46481.62465749224,4909.155379842363,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,base,1000.0,at_least_10pct_2h,40698.32545028976,46381.385877596724,5683.060427306962,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,base,5000.0,unconstrained,77852.695831982,99650.33675576563,21797.640923783634,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,base,5000.0,at_least_10pct_2h,77852.695831982,99650.33675576563,21797.640923783634,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,high,0.0,unconstrained,43322.01922800895,47343.4202097532,4021.4009817442566,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,high,0.0,at_least_10pct_2h,42367.76764923695,47041.77422472174,4674.006575484789,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,high,1000.0,unconstrained,55929.66672793895,64385.69019331906,8456.023465380109,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,high,1000.0,at_least_10pct_2h,55045.78038880214,63154.1296890135,8108.349300211361,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,high,5000.0,unconstrained,86858.58331077306,111427.01755831364,24568.434247540587,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,42,high,5000.0,at_least_10pct_2h,86858.58331077306,111427.01755831364,24568.434247540587,0.015920152609924774,0.017938658475730715,0.0350301565232285,0.03606299779779865
pizhou,timesnet,43,low,0.0,unconstrained,12082.40482688505,13057.844793568018,975.4399666829686,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,low,0.0,at_least_10pct_2h,20629.910382720114,21828.51820080075,1198.6078180806362,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,low,1000.0,unconstrained,31032.537900671683,34461.00590895232,3428.468008280637,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,low,1000.0,at_least_10pct_2h,32759.79555733261,36565.95788103853,3806.1623237059175,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,low,5000.0,unconstrained,72912.93082188943,86501.52814620857,13588.59732431914,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,low,5000.0,at_least_10pct_2h,72912.93082188943,86501.52814620857,13588.59732431914,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,base,0.0,unconstrained,24164.8096537701,26115.689587136036,1950.8799333659372,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,base,0.0,at_least_10pct_2h,27618.439501780693,30069.40661115567,2450.9671093749785,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
