site,config_a,config_b,pairs,left_candidates,right_candidates,left_coverage,right_coverage,mean_iou,iou_ge_030,iou_ge_050,iou_ge_070
hill,financial_tail_4h,opsda_cui2015_2h_0.025,98,1091,6774,0.08982584784601283,0.01446708001180986,0.5,1.0,1.0,0.0
hill,financial_tail_4h,opsda_cui2015_4h_0.025,565,1091,9953,0.5178735105407882,0.05676680397869989,0.6429993899905404,1.0,1.0,0.2973451327433628
hill,financial_tail_4h,sda_florita2013_0.025,36,1091,5315,0.03299725022914757,0.006773283160865475,0.5669867940701275,1.0,1.0,0.1111111111111111
hill,financial_tail_4h,threshold_1h,76,1091,7040,0.06966086159486709,0.010795454545454546,0.5449860446570972,1.0,1.0,0.039473684210526314
hill,financial_tail_4h,threshold_2h,855,1091,5402,0.7836846929422548,0.15827471306923363,0.694465298279051,1.0,1.0,0.45614035087719296
hill,financial_tail_4h,threshold_4h,894,1091,3280,0.8194317140238313,0.2725609756097561,0.7741769605108737,1.0,1.0,0.6331096196868009
hill,mean_shift_1h,mean_shift_2h,853,4526,2660,0.18846663720724702,0.3206766917293233,0.5530814958130316,1.0,1.0,0.06916764361078546
hill,mean_shift_1h,mean_shift_4h,3,4526,1328,0.0006628369421122404,0.002259036144578313,0.5286549707602339,1.0,1.0,0.0
hill,mean_shift_1h,opsda_cui2015_1h_0.025,1991,4526,3665,0.43990278391515686,0.5432469304229195,0.5871421396283275,1.0,1.0,0.0
hill,mean_shift_1h,opsda_cui2015_2h_0.025,3243,4526,6774,0.7165267344233318,0.4787422497785651,0.6881128584643847,1.0,1.0,0.34659266111625037
hill,mean_shift_1h,opsda_cui2015_4h_0.025,3614,4526,9953,0.7984975695978789,0.3631066010248166,0.7062296416612963,1.0,1.0,0.41007194244604317
hill,mean_shift_1h,sda_florita2013_0.025,2799,4526,5315,0.6184268669907202,0.5266227657572907,0.6194400494507676,1.0,1.0,0.15827081100392998
hill,mean_shift_1h,threshold_1h,4386,4526,7040,0.9690676093680954,0.6230113636363637,0.7716773789619207,1.0,1.0,0.5800273597811217
hill,mean_shift_1h,threshold_2h,2941,4526,5402,0.6498011489173663,0.5444279896334691,0.6793636479882654,1.0,1.0,0.4342060523631418
hill,mean_shift_1h,threshold_4h,237,4526,3280,0.05236411842686699,0.0722560975609756,0.5391856755281139,1.0,1.0,0.05907172995780591
